Supplement ID;Classification Code;Dietary supplement name;Protein (g);Total fat (g);Dietary fibre (g);Preformed vitamin A (retinol) (µg);Beta-carotene (µg);Provitamin A (b-carotene equivalents) (µg);Vitamin A retinol equivalents (µg);Thiamin (B1) (mg);Riboflavin (B2) (mg);Niacin (B3) (mg);Niacin derived equivalents (mg);Folic acid  (µg);Dietary folate equivalents  (µg);Vitamin B6 (mg);Vitamin B12  (µg);Vitamin C (mg);Vitamin E (mg);Calcium (Ca) (mg);Iodine (I) (µg);Iron (Fe) (mg);Magnesium (Mg) (mg);Phosphorus (P) (mg);Potassium (K) (mg);Selenium (Se) (µg);Sodium (Na) (mg);Zinc (Zn) (mg);Caffeine (mg);Cholesterol (mg);Total saturated fat (g);Total monounsaturated fat (g);Total polyunsaturated fat (g);Linoleic acid (g);Alpha-linolenic acid (g);Total long chain omega 3 fatty acids (mg);Total trans fatty acids (mg);Purchase Link;Image Link;Price
16780;33104;Calcium Phosphate 65mg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,1;0;0;0;11,7;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
16794;33105;Magnesium Phosphate 65mg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,5;11,4;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
16806;33505;Natural Chlorophyll Concentrate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
17706;33110;Megafol 5 Folic Acid 5 mg;0;0;0;0;0;0;0;0;0;0;0;5000;8333,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
18863;33109;Invite E Pure Oil Vitamin E 96% ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;643,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
19078;33402;Musashi L-Glutamine Acid;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
19978;33108;Orthoplex Lymphodran ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
19993;33101;Orthoplex Heme 100 ;0;0;0;0;0;0;0;4,46;0;0;0;500;833,3;4,1;500;50;10;0;0;3,48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
20000;33402;Orthoplex Taurine 500 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
20221;33107;Blackmores Celloids P.C.73 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34,1;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
20226;33107;Blackmores Celloids I.P.82 Iron Phosphate 15mg ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,56;0;3,1;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
20248;33101;Blackmores Duo Celloids S.C.F. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
20255;33101;Blackmores Duo Celloids S.P.P.C. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134,7;34,1;0;84,2;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
20262;33101;Blackmores Duo Celloids P.S.M.P. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,5;11,4;14,8;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
20268;33105;Blackmores Celloids M.P. 65 Magnesium Phosphate 65mg ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,5;11,4;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
20672;33402;Musashi L-Aspartic Acid;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
20923;33301;Auroma Tarragon Oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
20941;33301;Sun -Ten Morus & Lycium Formula ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
21047;33301;Essential Therapeutics Clary Sage Oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
21330;33301;Auroma Pepper Black Oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
22371;33112;Bio-Logical Vitamin B12 250mcg ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
22404;33108;Bio-Logical Vitamin C 500mg ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;510,7;0;12,6;0;0;0;0;0;0;39,5;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
22415;33108;Ester-C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;513,5;0;58,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
23426;33301;Blooms Slippery Elm Bark Powder;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
23436;33301;Blooms Super Kelp;0,01;0;0,06;0;120;120;20;0;0;0;0;0;0;0;0;0;0;0;264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
24383;33301;Rainbow Herbal Body Cleanse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
24585;33109;Cenovis Vitamin E 250mg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;167,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
25075;33301;Rainbow Herbal Nerve Ease Formula;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
25150;33301;Nature's Sunshine Black Cohosh;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
25329;33201;Golden Glow Maxepa 1000  Fish Oil -Natural 1000 mg;0;0,94;0;7,5;0;0;7,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,5;0,31;0,22;0,41;0,05;0,03;328,7;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
25441;33301;Nature's Sunshine Ginger;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
25442;33301;Nature's Sunshine Golden Seal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
25448;33301;Nature's Sunshine Hawthorn Berries;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
25700;33301;Nature's Sunshine Red Clover;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
25926;33301;Nature's Sunshine Pau D'arco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
26002;33301;Nature's Sunshine St Mary's Thistle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
26181;33502;Nature's Goodness Propolis 150mg/ml ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
27266;33101;Bioglan Iron Plus Complex;0,04;0;0;0;0;0;0;0;0;0;0;250;416,7;20,7;25;0;40,2;0;0;13,69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
27336;33203;Cod Liver Oil;0;0,89;0;370;0;0;370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,5;0,17;0,43;0,29;0,01;0,01;189;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
27357;33105;Epsom Salts Magnesium Sulfate 1g/g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
27460;33112;Betamin Thiamine Hydrochloride 100mg ;0;0;0;0;0;0;0;89,19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
27530;33112;Pyroxin 25mg;0;0;0;0;0;0;0;0;0;0;0;0;0;20,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
28093;33301;Microgenics Kelp 1000mg ;0,02;0,01;0,1;0;200;200;33,3;0;0;0;0;0;0;0;0;0;0;0;440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
28185;33112;Nature's Own Vitamin B12 250mcg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
28187;33112;Nature's Own Vitamin B2 100mg Riboflavin ;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
